영화명,개봉일,날짜,관객수,누적관객,스크린수,상영횟수,순위
그녀가 죽었다,2024-05-15,2024-06-28,2232,1230657,107,120,6
퓨리오사: 매드맥스 사가,2024-05-22,2024-06-28,1823,1593279,107,134,7
프렌치 수프,2024-06-19,2024-06-28,1582,26130,90,102,8
우마무스메 프리티 더비 로드 투 더 탑, ,2024-06-28,1059,3800,63,106,9
아가씨(확장판), ,2024-06-28,1045,24148,35,38,10
인사이드 아웃 2,2024-06-12,2024-06-29,436598,5226294,1925,9421,1
하이재킹,2024-06-21,2024-06-29,134504,954888,1094,3649,2
핸섬가이즈,2024-06-26,2024-06-29,126946,313839,943,3560,3
콰이어트 플레이스: 첫째 날,2024-06-26,2024-06-29,83454,292291,917,3142,4
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-06-29,4639,697247,135,165,5
밤낚시, ,2024-06-29,3936,37865,28,43,6
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-06-29,3589,6069,215,237,7
존 오브 인터레스트,2024-06-05,2024-06-29,3310,158894,130,159,8
김준수 콘서트 무비 챕터 원 : 레크리에이션,2024-06-05,2024-06-29,3020,29749,13,17,9
퓨리오사: 매드맥스 사가,2024-05-22,2024-06-29,2716,1595995,77,96,10
인사이드 아웃 2,2024-06-12,2024-06-30,412539,5638833,1917,9086,1
핸섬가이즈,2024-06-26,2024-06-30,145034,458873,965,3501,2
하이재킹,2024-06-21,2024-06-30,132656,1087544,1081,3551,3
콰이어트 플레이스: 첫째 날,2024-06-26,2024-06-30,66048,358339,892,2929,4
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-06-30,4455,10524,213,239,5
존 오브 인터레스트,2024-06-05,2024-06-30,3060,161954,135,164,6
퓨리오사: 매드맥스 사가,2024-05-22,2024-06-30,2443,1598438,73,89,7
밤낚시, ,2024-06-30,2266,40131,27,45,8
프렌치 수프,2024-06-19,2024-06-30,1995,30105,86,92,9
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-06-30,1704,698951,125,139,10
인사이드 아웃 2,2024-06-12,2024-07-01,82143,5720976,1424,6539,1
핸섬가이즈,2024-06-26,2024-07-01,55451,514324,866,3549,2
하이재킹,2024-06-21,2024-07-01,46635,1134179,923,3541,3
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-01,23781,382120,799,2816,4
존 오브 인터레스트,2024-06-05,2024-07-01,2160,164114,163,202,5
퓨리오사: 매드맥스 사가,2024-05-22,2024-07-01,1203,1599641,105,127,6
그녀가 죽었다,2024-05-15,2024-07-01,1038,1232728,72,83,7
프렌치 수프,2024-06-19,2024-07-01,852,30957,87,100,8
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-07-01,829,699780,107,115,9
아가씨(확장판), ,2024-07-01,828,26857,33,39,10
인사이드 아웃 2,2024-06-12,2024-07-02,83386,5804362,1437,6350,1
핸섬가이즈,2024-06-26,2024-07-02,54955,569279,936,3673,2
하이재킹,2024-06-21,2024-07-02,43330,1177509,970,3601,3
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-02,21646,403766,798,2720,4
존 오브 인터레스트,2024-06-05,2024-07-02,2151,166265,161,208,5
퓨리오사: 매드맥스 사가,2024-05-22,2024-07-02,1060,1600701,105,123,6
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-07-02,1013,11960,135,142,7
프렌치 수프,2024-06-19,2024-07-02,953,31910,87,100,8
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-07-02,890,700670,106,116,9
아가씨(확장판), ,2024-07-02,832,27689,35,41,10
탈주,2024-07-03,2024-07-03,112667,126570,1234,6090,1
인사이드 아웃 2,2024-06-12,2024-07-03,105687,5910049,1114,4687,2
핸섬가이즈,2024-06-26,2024-07-03,45668,614947,1049,3324,3
하이재킹,2024-06-21,2024-07-03,34847,1212356,858,2736,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-03,15481,419247,581,1257,5
만천과해,2024-07-03,2024-07-03,3398,3540,93,213,6
퍼펙트 데이즈,2024-07-03,2024-07-03,2584,4919,137,191,7
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-07-03,1574,13534,96,107,8
존 오브 인터레스트,2024-06-05,2024-07-03,1422,167687,88,103,9
클래식,2003-01-30,2024-07-03,1065,20055,53,59,10
인사이드 아웃 2,2024-06-12,2024-07-04,101449,6011498,1144,4745,1
탈주,2024-07-03,2024-07-04,80960,207530,1223,5899,2
핸섬가이즈,2024-06-26,2024-07-04,40882,655829,1065,3369,3
하이재킹,2024-06-21,2024-07-04,30337,1242693,829,2720,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-04,14237,433484,584,1219,5
퍼펙트 데이즈,2024-07-03,2024-07-04,2032,6951,131,190,6
만천과해,2024-07-03,2024-07-04,1506,5046,91,204,7
존 오브 인터레스트,2024-06-05,2024-07-04,1367,169054,85,103,8
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-07-04,903,14437,52,52,9
김준수 콘서트 무비 챕터 원 : 레크리에이션,2024-06-05,2024-07-04,718,31358,7,9,10
인사이드 아웃 2,2024-06-12,2024-07-05,183570,6195068,1263,5435,1
탈주,2024-07-03,2024-07-05,110013,317543,1186,5826,2
핸섬가이즈,2024-06-26,2024-07-05,61633,717462,1051,3598,3
하이재킹,2024-06-21,2024-07-05,44027,1286720,864,2831,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-05,22267,455751,604,1254,5
퍼펙트 데이즈,2024-07-03,2024-07-05,3747,10698,135,193,6
존 오브 인터레스트,2024-06-05,2024-07-05,1836,170890,93,113,7
기동전사 건담 시드 프리덤,2024-04-03,2024-07-05,1672,58401,41,123,8
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-07-05,1397,15834,49,50,9
만천과해,2024-07-03,2024-07-05,1234,6280,93,186,10
인사이드 아웃 2,2024-06-12,2024-07-06,390084,6585152,1664,7522,1
탈주,2024-07-03,2024-07-06,222064,539607,1096,5215,2
핸섬가이즈,2024-06-26,2024-07-06,135248,852710,1029,3823,3
하이재킹,2024-06-21,2024-07-06,83496,1370216,826,2660,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-06,27004,482755,586,985,5
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-07-06,7552,710074,89,102,6
퍼펙트 데이즈,2024-07-03,2024-07-06,4564,15262,131,173,7
듄,2021-10-20,2024-07-06,2858,1656287,24,69,8
존 오브 인터레스트,2024-06-05,2024-07-06,2810,173700,91,113,9
듄: 파트2,2024-02-28,2024-07-06,2714,2006266,24,54,10
인사이드 아웃 2,2024-06-12,2024-07-07,332687,6917839,1662,7356,1
탈주,2024-07-03,2024-07-07,197022,736629,1079,4968,2
핸섬가이즈,2024-06-26,2024-07-07,117137,969847,1004,3661,3
하이재킹,2024-06-21,2024-07-07,76647,1446863,799,2546,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-07,21466,504221,591,961,5
퍼펙트 데이즈,2024-07-03,2024-07-07,3832,19094,131,175,6
존 오브 인터레스트,2024-06-05,2024-07-07,2637,176337,93,110,7
듄: 파트2,2024-02-28,2024-07-07,2442,2008708,24,67,8
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-07-07,2018,712092,75,79,9
언더더씨: 마법 산호초를 찾아서,2024-06-27,2024-07-07,1888,19344,103,116,10
탈주,2024-07-03,2024-07-08,69083,805712,1031,4970,1
인사이드 아웃 2,2024-06-12,2024-07-08,56312,6974151,1126,4806,2
핸섬가이즈,2024-06-26,2024-07-08,34920,1004767,916,3427,3
하이재킹,2024-06-21,2024-07-08,24085,1470948,732,2531,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-08,8499,512720,529,1027,5
탈출: 프로젝트 사일런스,2024-07-12,2024-07-08,3319,3319,9,13,6
퍼펙트 데이즈,2024-07-03,2024-07-08,2500,21594,132,188,7
존 오브 인터레스트,2024-06-05,2024-07-08,1330,177667,112,144,8
만천과해,2024-07-03,2024-07-08,827,9756,86,156,9
듄: 파트2,2024-02-28,2024-07-08,806,2009514,23,50,10
탈주,2024-07-03,2024-07-09,65096,870808,1062,4991,1
인사이드 아웃 2,2024-06-12,2024-07-09,63615,7037766,1137,4772,2
핸섬가이즈,2024-06-26,2024-07-09,34328,1039095,919,3442,3
하이재킹,2024-06-21,2024-07-09,23891,1494839,744,2514,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-09,7631,520351,540,996,5
퍼펙트 데이즈,2024-07-03,2024-07-09,2427,24021,129,186,6
존 오브 인터레스트,2024-06-05,2024-07-09,1537,179204,112,148,7
그녀가 죽었다,2024-05-15,2024-07-09,1315,1236562,42,48,8
만천과해,2024-07-03,2024-07-09,1229,10985,94,171,9
듄: 파트2,2024-02-28,2024-07-09,807,2010321,23,59,10
탈주,2024-07-03,2024-07-10,66612,937420,1116,4830,1
인사이드 아웃 2,2024-06-12,2024-07-10,63942,7101708,1174,4960,2
핸섬가이즈,2024-06-26,2024-07-10,36931,1076026,957,3455,3
하이재킹,2024-06-21,2024-07-10,24078,1518917,726,2299,4
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-10,6215,526566,407,773,5
러브 라이즈 블리딩,2024-07-10,2024-07-10,5182,5673,133,371,6
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-10,4681,5698,197,367,7
박정희: 경제대국을 꿈꾼 남자,2024-07-10,2024-07-10,1865,3707,230,340,8
퍼펙트 데이즈,2024-07-03,2024-07-10,1864,25885,75,89,9
만천과해,2024-07-03,2024-07-10,1830,12815,72,118,10
탈주,2024-07-03,2024-07-11,57662,995082,1110,4789,1
인사이드 아웃 2,2024-06-12,2024-07-11,50956,7152664,1175,4839,2
핸섬가이즈,2024-06-26,2024-07-11,33775,1109801,954,3360,3
하이재킹,2024-06-21,2024-07-11,22797,1541714,733,2234,4
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-11,6421,8079,127,304,5
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-11,4746,531312,382,685,6
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2024-07-11,4072,717766,70,86,7
러브 라이즈 블리딩,2024-07-10,2024-07-11,2944,8617,125,335,8
탈출: 프로젝트 사일런스,2024-07-12,2024-07-11,2286,5863,10,10,9
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-11,2271,7969,173,302,10
탈출: 프로젝트 사일런스,2024-07-12,2024-07-12,100184,106047,1078,4983,1
인사이드 아웃 2,2024-06-12,2024-07-12,71854,7224518,1079,4530,2
탈주,2024-07-03,2024-07-12,60050,1055132,899,3415,3
핸섬가이즈,2024-06-26,2024-07-12,40500,1150301,767,2498,4
하이재킹,2024-06-21,2024-07-12,20636,1562350,643,1367,5
플라이 미 투 더 문,2024-07-12,2024-07-12,8599,9254,306,709,6
러브 라이즈 블리딩,2024-07-10,2024-07-12,4092,12709,115,303,7
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-12,3820,535132,270,361,8
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-12,2815,10894,119,247,9
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-12,2387,10356,187,288,10
인사이드 아웃 2,2024-06-12,2024-07-13,226512,7451030,1396,6299,1
탈주,2024-07-03,2024-07-13,147099,1202231,939,3695,2
탈출: 프로젝트 사일런스,2024-07-12,2024-07-13,135934,241981,969,4476,3
핸섬가이즈,2024-06-26,2024-07-13,91422,1241723,793,2540,4
하이재킹,2024-06-21,2024-07-13,42247,1604597,675,1315,5
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-13,16830,27186,272,604,6
플라이 미 투 더 문,2024-07-12,2024-07-13,6671,15925,301,603,7
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-13,5397,540529,233,290,8
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-13,4233,15127,136,226,9
퍼펙트 데이즈,2024-07-03,2024-07-13,3116,32469,69,86,10
인사이드 아웃 2,2024-06-12,2024-07-14,204404,7655434,1375,6003,1
탈주,2024-07-03,2024-07-14,142179,1344410,932,3569,2
탈출: 프로젝트 사일런스,2024-07-12,2024-07-14,113589,355570,944,4225,3
핸섬가이즈,2024-06-26,2024-07-14,82446,1324169,792,2498,4
하이재킹,2024-06-21,2024-07-14,38828,1643425,668,1295,5
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-14,15171,42357,276,598,6
플라이 미 투 더 문,2024-07-12,2024-07-14,5180,21105,287,571,7
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-14,4847,545376,220,276,8
퍼펙트 데이즈,2024-07-03,2024-07-14,3021,35490,70,88,9
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-14,2996,18123,134,221,10
탈주,2024-07-03,2024-07-15,46999,1391409,862,3539,1
탈출: 프로젝트 사일런스,2024-07-12,2024-07-15,34571,390141,887,3921,2
인사이드 아웃 2,2024-06-12,2024-07-15,32214,7687648,935,3899,3
핸섬가이즈,2024-06-26,2024-07-15,24392,1348561,702,2445,4
하이재킹,2024-06-21,2024-07-15,13471,1656896,620,1331,5
플라이 미 투 더 문,2024-07-12,2024-07-15,3719,24824,262,557,6
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-15,1848,547224,224,306,7
퍼펙트 데이즈,2024-07-03,2024-07-15,1649,37139,64,80,8
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-15,1416,43773,174,267,9
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-15,1342,19465,115,222,10
탈주,2024-07-03,2024-07-16,46164,1437573,902,3589,1
탈출: 프로젝트 사일런스,2024-07-12,2024-07-16,32549,422690,897,3875,2
인사이드 아웃 2,2024-06-12,2024-07-16,30647,7718295,947,3773,3
핸섬가이즈,2024-06-26,2024-07-16,23661,1372222,714,2434,4
하이재킹,2024-06-21,2024-07-16,13842,1670738,628,1322,5
플라이 미 투 더 문,2024-07-12,2024-07-16,4210,29034,277,594,6
파일럿,2024-07-31,2024-07-16,3642,3990,12,28,7
콰이어트 플레이스: 첫째 날,2024-06-26,2024-07-16,1692,548916,207,278,8
퍼펙트 데이즈,2024-07-03,2024-07-16,1529,38668,68,88,9
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-16,1515,45288,172,263,10
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-17,110102,114450,1089,4458,1
탈주,2024-07-03,2024-07-17,50064,1487637,914,3329,2
인사이드 아웃 2,2024-06-12,2024-07-17,29251,7747546,827,2856,3
탈출: 프로젝트 사일런스,2024-07-12,2024-07-17,29246,451936,775,2718,4
핸섬가이즈,2024-06-26,2024-07-17,21980,1394202,685,1930,5
하이재킹,2024-06-21,2024-07-17,9687,1680425,541,951,6
이매큘레이트,2024-07-17,2024-07-17,3519,3905,191,264,7
그리고 바통은 넘겨졌다,2024-07-17,2024-07-17,2266,2528,108,180,8
비포 선라이즈,1996-03-30,2024-07-17,2178,62293,82,103,9
파일럿,2024-07-31,2024-07-17,2172,6162,12,14,10
탈주,2024-07-03,2024-07-18,49240,1536877,939,3452,1
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-18,44437,158887,977,3835,2
인사이드 아웃 2,2024-06-12,2024-07-18,26827,7774373,814,2876,3
탈출: 프로젝트 사일런스,2024-07-12,2024-07-18,26438,478374,788,2642,4
핸섬가이즈,2024-06-26,2024-07-18,21486,1415688,730,2018,5
하이재킹,2024-06-21,2024-07-18,9095,1689520,558,972,6
2023 영탁 단독 콘서트 : 탁쇼2,2024-07-18,2024-07-18,8679,8679,86,159,7
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-18,3059,24591,113,192,8
이매큘레이트,2024-07-17,2024-07-18,2429,6334,185,257,9
플라이 미 투 더 문,2024-07-12,2024-07-18,2323,33283,154,215,10
탈주,2024-07-03,2024-07-19,79796,1616673,992,3823,1
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-19,62891,221778,960,3901,2
인사이드 아웃 2,2024-06-12,2024-07-19,52790,7827163,906,3411,3
핸섬가이즈,2024-06-26,2024-07-19,36019,1451707,782,2305,4
탈출: 프로젝트 사일런스,2024-07-12,2024-07-19,32915,511289,812,2790,5
하이재킹,2024-06-21,2024-07-19,15093,1704613,587,1087,6
2023 영탁 단독 콘서트 : 탁쇼2,2024-07-18,2024-07-19,3993,12672,91,153,7
이매큘레이트,2024-07-17,2024-07-19,3706,10040,189,262,8
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-19,2134,26725,113,190,9
위대한 쇼맨,2017-12-20,2024-07-19,2035,1726410,18,46,10
탈주,2024-07-03,2024-07-20,153656,1770329,1060,3893,1
인사이드 아웃 2,2024-06-12,2024-07-20,120437,7947600,1098,3921,2
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-20,85732,307510,904,3137,3
핸섬가이즈,2024-06-26,2024-07-20,74135,1525842,864,2300,4
슈퍼배드 4,2024-07-24,2024-07-20,51826,52997,758,2656,5
탈출: 프로젝트 사일런스,2024-07-12,2024-07-20,45463,556752,870,2175,6
하이재킹,2024-06-21,2024-07-20,18510,1723123,530,809,7
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-20,7373,55100,223,351,8
2023 영탁 단독 콘서트 : 탁쇼2,2024-07-18,2024-07-20,3368,16040,90,140,9
퍼펙트 데이즈,2024-07-03,2024-07-20,3160,46073,63,73,10
탈주,2024-07-03,2024-07-21,138843,1909172,1058,3781,1
인사이드 아웃 2,2024-06-12,2024-07-21,111221,8058821,1106,3799,2
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-21,70222,377732,914,3032,3
핸섬가이즈,2024-06-26,2024-07-21,65497,1591339,878,2239,4
슈퍼배드 4,2024-07-24,2024-07-21,51702,104699,731,2434,5
탈출: 프로젝트 사일런스,2024-07-12,2024-07-21,42900,599652,865,2108,6
하이재킹,2024-06-21,2024-07-21,16100,1739223,526,787,7
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-21,6537,61637,218,345,8
퍼펙트 데이즈,2024-07-03,2024-07-21,3519,49592,66,80,9
2023 영탁 단독 콘서트 : 탁쇼2,2024-07-18,2024-07-21,3277,19317,86,144,10
탈주,2024-07-03,2024-07-22,48624,1957796,910,3692,1
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-22,29253,406985,798,3079,2
인사이드 아웃 2,2024-06-12,2024-07-22,27481,8086302,822,3013,3
핸섬가이즈,2024-06-26,2024-07-22,22308,1613647,739,2334,4
탈출: 프로젝트 사일런스,2024-07-12,2024-07-22,19022,618674,713,2371,5
하이재킹,2024-06-21,2024-07-22,9382,1748605,536,1044,6
퍼펙트 데이즈,2024-07-03,2024-07-22,1971,51563,58,71,7
위대한 쇼맨,2017-12-20,2024-07-22,1758,1733452,18,51,8
비포 선라이즈,1996-03-30,2024-07-22,1384,71554,81,105,9
파일럿,2024-07-31,2024-07-22,1313,10965,5,5,10
탈주,2024-07-03,2024-07-23,46885,2004681,942,3723,1
인사이드 아웃 2,2024-06-12,2024-07-23,27631,8113933,838,3001,2
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-23,26148,433133,804,3042,3
핸섬가이즈,2024-06-26,2024-07-23,20354,1634001,727,2319,4
탈출: 프로젝트 사일런스,2024-07-12,2024-07-23,18281,636955,746,2407,5
파일럿,2024-07-31,2024-07-23,13391,24356,53,54,6
하이재킹,2024-06-21,2024-07-23,8146,1756751,515,1040,7
위대한 쇼맨,2017-12-20,2024-07-23,2367,1735819,18,53,8
이매큘레이트,2024-07-17,2024-07-23,2304,17665,180,241,9
퍼펙트 데이즈,2024-07-03,2024-07-23,2006,53569,64,77,10
데드풀과 울버린,2024-07-24,2024-07-24,230124,231759,1936,8234,1
슈퍼배드 4,2024-07-24,2024-07-24,73339,178285,1031,3989,2
탈주,2024-07-03,2024-07-24,35724,2040405,879,2171,3
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-24,31818,464951,613,1268,4
인사이드 아웃 2,2024-06-12,2024-07-24,17459,8131392,625,1128,5
핸섬가이즈,2024-06-26,2024-07-24,10223,1644224,532,878,6
탈출: 프로젝트 사일런스,2024-07-12,2024-07-24,6735,643690,416,629,7
이준호 콘서트 : 다시 만나는 날,2024-07-24,2024-07-24,4327,4327,56,105,8
하이재킹,2024-06-21,2024-07-24,1955,1758706,147,180,9
파일럿,2024-07-31,2024-07-24,1854,26210,11,13,10
데드풀과 울버린,2024-07-24,2024-07-25,131664,363423,1908,8054,1
슈퍼배드 4,2024-07-24,2024-07-25,53655,231940,997,3750,2
탈주,2024-07-03,2024-07-25,34225,2074630,884,2222,3
인사이드 아웃 2,2024-06-12,2024-07-25,20542,8151934,639,1191,4
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-25,19378,484329,620,1246,5
핸섬가이즈,2024-06-26,2024-07-25,10198,1654422,550,924,6
탈출: 프로젝트 사일런스,2024-07-12,2024-07-25,5965,649655,413,625,7
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-25,3251,36810,77,93,8
파일럿,2024-07-31,2024-07-25,2274,28484,10,14,9
하이재킹,2024-06-21,2024-07-25,2037,1760743,155,189,10
데드풀과 울버린,2024-07-24,2024-07-26,164657,528080,1947,8677,1
슈퍼배드 4,2024-07-24,2024-07-26,65111,297051,1017,3846,2
탈주,2024-07-03,2024-07-26,42370,2117000,878,2310,3
인사이드 아웃 2,2024-06-12,2024-07-26,25799,8177733,652,1220,4
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-26,18238,502567,589,1187,5
핸섬가이즈,2024-06-26,2024-07-26,13708,1668130,537,928,6
탈출: 프로젝트 사일런스,2024-07-12,2024-07-26,6084,655739,377,577,7
2023 영탁 단독 콘서트 : 탁쇼2,2024-07-18,2024-07-26,2611,25607,50,66,8
하이재킹,2024-06-21,2024-07-26,1933,1762676,138,173,9
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-07-26,1875,38685,79,91,10
데드풀과 울버린,2024-07-24,2024-07-27,311596,839676,1948,8847,1
슈퍼배드 4,2024-07-24,2024-07-27,145870,442921,1167,4490,2
탈주,2024-07-03,2024-07-27,82603,2199603,875,2337,3
인사이드 아웃 2,2024-06-12,2024-07-27,55961,8233694,769,1616,4
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-27,27514,530081,587,1055,5
핸섬가이즈,2024-06-26,2024-07-27,25675,1693805,516,843,6
파일럿,2024-07-31,2024-07-27,12033,42338,38,47,7
탈출: 프로젝트 사일런스,2024-07-12,2024-07-27,8198,663937,323,480,8
사랑의 하츄핑,2024-08-07,2024-07-27,4061,8111,15,17,9
퍼펙트 데이즈,2024-07-03,2024-07-27,3531,62397,57,75,10
데드풀과 울버린,2024-07-24,2024-07-28,246314,1085990,1919,8414,1
슈퍼배드 4,2024-07-24,2024-07-28,145484,588405,1178,4406,2
탈주,2024-07-03,2024-07-28,82451,2282054,899,2339,3
인사이드 아웃 2,2024-06-12,2024-07-28,58197,8291891,777,1608,4
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-28,27182,557263,575,1032,5
핸섬가이즈,2024-06-26,2024-07-28,23547,1717352,528,837,6
탈출: 프로젝트 사일런스,2024-07-12,2024-07-28,8120,672057,332,469,7
파일럿,2024-07-31,2024-07-28,6701,49039,18,26,8
사랑의 하츄핑,2024-08-07,2024-07-28,3435,11546,12,16,9
퍼펙트 데이즈,2024-07-03,2024-07-28,3246,65643,53,69,10
데드풀과 울버린,2024-07-24,2024-07-29,92532,1178522,1784,7672,1
슈퍼배드 4,2024-07-24,2024-07-29,80053,668458,998,3927,2
탈주,2024-07-03,2024-07-29,40767,2322821,840,2337,3
인사이드 아웃 2,2024-06-12,2024-07-29,37377,8329268,701,1501,4
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-29,15880,573143,562,1063,5
핸섬가이즈,2024-06-26,2024-07-29,13201,1730553,551,929,6
탈출: 프로젝트 사일런스,2024-07-12,2024-07-29,4637,676694,320,455,7
파일럿,2024-07-31,2024-07-29,2085,51124,12,16,8
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-29,1953,74333,118,149,9
퍼펙트 데이즈,2024-07-03,2024-07-29,1868,67511,49,64,10
슈퍼배드 4,2024-07-24,2024-07-30,79855,748313,1081,4080,1
데드풀과 울버린,2024-07-24,2024-07-30,79021,1257543,1769,7207,2
탈주,2024-07-03,2024-07-30,41512,2364333,900,2432,3
인사이드 아웃 2,2024-06-12,2024-07-30,38546,8367814,814,1746,4
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-30,15694,588837,591,1101,5
핸섬가이즈,2024-06-26,2024-07-30,13489,1744042,586,977,6
탈출: 프로젝트 사일런스,2024-07-12,2024-07-30,5095,681789,334,476,7
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-07-30,2093,76426,118,149,8
퍼펙트 데이즈,2024-07-03,2024-07-30,1972,69483,52,63,9
하이재킹,2024-06-21,2024-07-30,1679,1771095,129,160,10
파일럿,2024-07-31,2024-07-31,373859,425303,1827,8735,1
슈퍼배드 4,2024-07-24,2024-07-31,95517,843830,1005,2956,2
데드풀과 울버린,2024-07-24,2024-07-31,94570,1352113,1123,3850,3
인사이드 아웃 2,2024-06-12,2024-07-31,38318,8406132,693,1153,4
탈주,2024-07-03,2024-07-31,32358,2396691,699,1275,5
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-07-31,19336,608173,422,588,6
헬로카봇 올스타 스페셜,2024-07-31,2024-07-31,7756,7756,221,363,7
핸섬가이즈,2024-06-26,2024-07-31,4680,1748722,215,269,8
리볼버,2024-08-07,2024-07-31,2827,2827,7,12,9
퍼펙트 데이즈,2024-07-03,2024-07-31,2663,72146,45,59,10
파일럿,2024-07-31,2024-08-01,223746,649049,1805,8578,1
슈퍼배드 4,2024-07-24,2024-08-01,70488,914318,1058,3152,2
데드풀과 울버린,2024-07-24,2024-08-01,55425,1407538,1023,3496,3
인사이드 아웃 2,2024-06-12,2024-08-01,33626,8439758,746,1318,4
탈주,2024-07-03,2024-08-01,19238,2415929,681,1272,5
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-08-01,11088,619261,425,607,6
헬로카봇 올스타 스페셜,2024-07-31,2024-08-01,5611,13367,220,354,7
핸섬가이즈,2024-06-26,2024-08-01,3334,1752056,204,270,8
극장판 도라에몽: 진구의 지구 교향곡,2024-07-10,2024-08-01,2748,80829,81,99,9
우마무스메 프리티 더비 새로운 시대의 문,2024-07-11,2024-08-01,2105,46507,59,66,10
파일럿,2024-07-31,2024-08-02,249189,898238,1811,8835,1
슈퍼배드 4,2024-07-24,2024-08-02,68290,982608,1066,3258,2
데드풀과 울버린,2024-07-24,2024-08-02,66571,1474109,1033,3578,3
인사이드 아웃 2,2024-06-12,2024-08-02,33720,8473478,766,1436,4
탈주,2024-07-03,2024-08-02,20986,2436915,693,1316,5
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,2024-08-02,10011,629272,425,614,6
헬로카봇 올스타 스페셜,2024-07-31,2024-08-02,4749,18116,215,339,7
핸섬가이즈,2024-06-26,2024-08-02,3611,1755667,207,278,8
수카바티: 극락축구단,2024-07-31,2024-08-02,2469,8563,72,97,9
퍼펙트 데이즈,2024-07-03,2024-08-02,2262,76422,46,63,10
파일럿,2024-07-31,2024-08-03,441577,1339815,1954,9561,1
데드풀과 울버린,2024-07-24,2024-08-03,112361,1586470,983,3218,2
슈퍼배드 4,2024-07-24,2024-08-03,97609,1080217,1110,3504,3
